Plant Type,Plant Desc,CH3 ID,CH3 Desc,Material Group Desc,PH2R,PH4,Year,Month,Units,LBS,Revenue
Metals,Chicago IL,28126,Customer 28126,EH 5 Gal O/H Strait,4 Metal Pail,5 Gallon Pail,2020,01,0.876979294,3.477222899,4.221077954
Metals,Chicago IL,28126,Customer 28126,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,01,1.271619976,5.354791717,6.300115713
Metals,Chicago IL,28131,Customer 28131,AA Gal Rd Cn 610x708,1 Paint,Gallon Round,2020,01,5.43727162,4.19546894,9.122831912
Metals,Chicago IL,28131,Customer 28131,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,0.414129111,0.352838002,0.807210719
Metals,Chicago IL,28131,Customer 28131,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,19.17661389,5.08180268,13.59514007
Metals,Chicago IL,28131,Customer 28131,AI Pnt Rd Cn 307x315,1 Paint,Pint Round,2020,01,14.43605359,2.526309379,9.840950061
Metals,Chicago IL,28131,Customer 28131,AW 1/2 Pt Cn 214X300,1 Paint,1/2 Pint Round,2020,01,4.987819732,0.603526188,1.920310597
Metals,Chicago IL,28131,Customer 28131,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,0.409257004,0.188258222,0.364598051
Metals,Chicago IL,28131,Customer 28131,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,0.489646772,2.620194884
Metals,Chicago IL,28131,Customer 28131,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,1.418075518,9.154500609
Metals,Chicago IL,28131,Customer 28131,Armloks,7 M.Other,Other,2020,01,0,0,9.155663825
Metals,Chicago IL,28187,Customer 28187,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,23.73690621,16.8294665,12.58056029
Metals,Chicago IL,28187,Customer 28187,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,6.314250914,1.673276492,2.841412911
Metals,Chicago IL,28187,Customer 28187,EC 3 Gal O/H Tapered,4 Metal Pail,3 Gallon Pail,2020,01,17.18696711,37.48038672,32.31341657
